POSTING DATE,EFFECTIVE DATE,CREATE DATE,TRANSFER IN EFFECTIVE DATE,Customer/Vendor Code,Customer/Vendor Name,LOB,Region,BP TYPE,City,STATE,From WhsCode,From WhsName,To whsCode,TO WhsName,Model TYPE,Transfer Type,U_Frt,U_ActShipType,PRODUCT CATEGORY,ItemCode,QUANTITY,UNIT,RATE,SO ID,SO Creation Date,SO Due Date,U_DocStatus,NumAtCard,U_SOTYPE,BP CATEGORY,Document Type,TRANSPORTER NAME,U_GRNNO,Loading/Unloading,Detention,U_AssetClass
07-12-2019,07-12-2019,07-12-2019,,10002553,Cart Services Pvt. Ltd. _ Bangalore _Yeshwanthpura,FMCG,South,RENTAL,Bangalore,Karnataka,10002553,Cart Services Pvt. Ltd. - Bangalore (Yeshwanthpura),KA02,Pallet Company  India Bangalore-Hobli,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-177,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,0,,Wooden Pallet
08-12-2019,08-12-2019,08-12-2019,,10001648,Cart Services Pvt. Ltd. _ Greater Noida,FMCG,North,RENTAL,Greater Noida,Uttar Pradesh,10001648,Cart Services Pvt. Ltd. - Greater Noida,UP01,Pallet Company  India G.Noida-Old,Return,Pallet Company IN,5000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-252,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,,,Wooden Pallet
08-12-2019,08-12-2019,08-12-2019,,10001518,Cart Services Pvt. Ltd. _ Howrah _Uluberia Kolkata Flex,FMCG,East,RENTAL,Howrah,West Bengal,10001518,Cart Services Pvt. Ltd. - Howrah (Uluberia Kolkata Flex),WB01,Pallet Company  India Kolkata,Return,Pallet Company IN,14000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-300,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1200,,Wooden Pallet
08-12-2019,06-12-2019,08-12-2019,,10001648,Cart Services Pvt. Ltd. _ Greater Noida,FMCG,North,RENTAL,Greater Noida,Uttar Pradesh,10001648,Cart Services Pvt. Ltd. - Greater Noida,UP01,Pallet Company  India G.Noida-Old,Return,Pallet Company IN,5000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-252,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,,,Wooden Pallet
08-12-2019,08-12-2019,08-12-2019,,10001648,Cart Services Pvt. Ltd. _ Greater Noida,FMCG,North,RENTAL,Greater Noida,Uttar Pradesh,10001648,Cart Services Pvt. Ltd. - Greater Noida,UP01,Pallet Company  India G.Noida-Old,Return,Pallet Company IN,4000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-240,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,,,Wooden Pallet
08-12-2019,08-12-2019,08-12-2019,,10001518,Cart Services Pvt. Ltd. _ Howrah _Uluberia Kolkata Flex,FMCG,East,RENTAL,Howrah,West Bengal,10001518,Cart Services Pvt. Ltd. - Howrah (Uluberia Kolkata Flex),WB01,Pallet Company  India Kolkata,Return,Pallet Company IN,14000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-300,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1200,,Wooden Pallet
08-12-2019,08-12-2019,08-12-2019,,10001497,Cart Services Pvt. Ltd. _ Jhajjar _Flex Kulana FC,FMCG,North,RENTAL,Jhajjar,Haryana,10001497,Cart Services Pvt. Ltd. - Jhajjar (Flex Kulana FC),HY01,Pallet Company  India Pataudi,Return,Pallet Company IN,6500,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-320,Nos,1950,,,,C,,Return,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,0,0,Wooden Pallet
08-12-2019,08-12-2019,08-12-2019,,10001518,Cart Services Pvt. Ltd. _ Howrah _Uluberia Kolkata Flex,FMCG,East,RENTAL,Howrah,West Bengal,10001518,Cart Services Pvt. Ltd. - Howrah (Uluberia Kolkata Flex),WB01,Pallet Company  India Kolkata,Return,Pallet Company IN,14000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-300,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1200,,Wooden Pallet
09-12-2019,07-12-2019,09-12-2019,,10001543,Cart Services Pvt. Ltd. _ Hyderabad _Medchal Flex _ 2182 _ WH,FMCG,South,RENTAL,Hyderabad,Telangana,10001543,Cart Services Pvt. Ltd. - Hyderabad (Medchal Flex - 2182 - WH),TL01,Pallet Company  India Hyderabad,Return,Pallet Company IN,3500,Pallet Company  Transport borne by customer,Wooden Pallet,A010000003,-61,Nos,1500,,,,C,,Return,Ecommerce,Dehire Received,Sri Vaishnavi Enterprises,,0,,Wooden Pallet
09-12-2019,07-12-2019,09-12-2019,,10001543,Cart Services Pvt. Ltd. _ Hyderabad _Medchal Flex _ 2182 _ WH,FMCG,South,RENTAL,Hyderabad,Telangana,10001543,Cart Services Pvt. Ltd. - Hyderabad (Medchal Flex - 2182 - WH),TL01,Pallet Company  India Hyderabad,Return,Pallet Company IN,3500,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-104,Nos,1950,,,,C,,Return,Ecommerce,Dehire Received,Sri Vaishnavi Enterprises,,0,,Wooden Pallet
